region,period,total,year,month
total national,2004-05,291088.0,2004,5
total national,2004-04,397065.0,2004,4
total national,2004-03,126576.0,2004,3
total national,2004-02,90444.0,2004,2
total national,2004-01,80800.0,2004,1
total national,2003-12,87949.0,2003,12
total national,2003-11,98504.0,2003,11
total national,2003-10,136215.0,2003,10
total national,2003-09,387022.0,2003,9
total national,2003-08,1425511.0,2003,8
total national,2003-07,965477.0,2003,7
total national,2003-06,543731.0,2003,6
total national,2003-05,351459.0,2003,5
total national,2003-04,414615.0,2003,4
total national,2003-03,112965.0,2003,3
total national,2003-02,82996.0,2003,2
total national,2003-01,63364.0,2003,1
total national,2002-12,79420.0,2002,12
total national,2002-11,89219.0,2002,11
total national,2002-10,135967.0,2002,10
total national,2002-09,304160.0,2002,9
total national,2002-08,1097595.0,2002,8
total national,2002-07,867984.0,2002,7
total national,2002-06,450097.0,2002,6
total national,2002-05,252902.0,2002,5
total national,2002-04,196527.0,2002,4
total national,2002-03,261632.0,2002,3
total national,2002-02,70004.0,2002,2
total national,2002-01,52384.0,2002,1
total national,2001-12,68947.0,2001,12
total national,2001-11,75238.0,2001,11
total national,2001-10,136708.0,2001,10
total national,2001-09,311699.0,2001,9
total national,2001-08,1250138.0,2001,8
total national,2001-07,889789.0,2001,7
total national,2001-06,438896.0,2001,6
total national,2001-05,238999.0,2001,5
total national,2001-04,467397.0,2001,4
total national,2001-03,110411.0,2001,3
total national,2001-02,66248.0,2001,2
total national,2001-01,49975.0,2001,1
total national,2000-12,80344.0,2000,12
total national,2000-11,61470.0,2000,11
total national,2000-10,123943.0,2000,10
total national,2000-09,323227.0,2000,9
total national,2000-08,1160795.0,2000,8
total national,2000-07,877093.0,2000,7
total national,2000-06,333863.0,2000,6
total national,2000-05,208408.0,2000,5
total national,2000-04,350774.0,2000,4
total national,2000-03,103675.0,2000,3
total national,2000-02,69694.0,2000,2
total national,2000-01,42943.0,2000,1
total national,1999-12,55238.0,1999,12
total national,1999-11,55814.0,1999,11
total national,1999-10,124818.0,1999,10
total national,1999-09,277859.0,1999,9
total national,1999-08,1126936.0,1999,8
total national,1999-07,791664.0,1999,7
total national,1999-06,347140.0,1999,6
total national,1999-05,214407.0,1999,5
total national,1999-04,273482.0,1999,4
total national,1999-03,121539.0,1999,3
total national,1999-02,55390.0,1999,2
total national,1999-01,41191.0,1999,1
total national,2025-02,113534.0,2025,2
total national,2025-01,112382.0,2025,1
total national,2024-12,90084.0,2024,12
total national,2024-11,110172.0,2024,11
total national,2024-10,301593.0,2024,10
total national,2024-09,488357.0,2024,9
total national,2024-08,704379.0,2024,8
total national,2024-07,674670.0,2024,7
total national,2024-06,374433.0,2024,6
total national,2024-05,443146.0,2024,5
total national,2024-04,321483.0,2024,4
total national,2024-03,206686.0,2024,3
total national,2024-02,114417.0,2024,2
total national,2024-01,106834.0,2024,1
total national,2023-12,88642.0,2023,12
total national,2023-11,107234.0,2023,11
total national,2023-10,243401.0,2023,10
total national,2023-09,428794.0,2023,9
total national,2023-08,659954.0,2023,8
total national,2023-07,629305.0,2023,7
total national,2023-06,344231.0,2023,6
total national,2023-05,366257.0,2023,5
total national,2023-04,297371.0,2023,4
total national,2023-03,145392.0,2023,3
total national,2023-02,98887.0,2023,2
total national,2023-01,98725.0,2023,1
total national,2022-12,72196.0,2022,12
total national,2022-11,90352.0,2022,11
total national,2022-10,212977.0,2022,10
total national,2022-09,360231.0,2022,9
total national,2022-08,629086.0,2022,8
total national,2022-07,597796.0,2022,7
total national,2022-06,328617.0,2022,6
total national,2022-05,280026.0,2022,5
total national,2022-04,218963.0,2022,4
total national,2022-03,115664.0,2022,3
total national,2022-02,85724.0,2022,2
total national,2022-01,77925.0,2022,1
total national,2021-12,63792.0,2021,12
total national,2021-11,78875.0,2021,11
total national,2021-10,174451.0,2021,10
total national,2021-09,245333.0,2021,9
total national,2021-08,363259.0,2021,8
total national,2021-07,283266.0,2021,7
total national,2021-06,94740.0,2021,6
total national,2021-05,50753.0,2021,5
total national,2021-04,26993.0,2021,4
total national,2021-03,17335.0,2021,3
total national,2021-02,8889.0,2021,2
total national,2021-01,13210.0,2021,1
total national,2020-12,11505.0,2020,12
total national,2020-11,0.0,2020,11
total national,2020-10,35044.0,2020,10
total national,2020-09,53648.0,2020,9
total national,2020-08,133152.0,2020,8
total national,2020-07,167071.0,2020,7
total national,2020-06,16392.0,2020,6
total national,2020-05,0.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,40511.0,2020,3
total national,2020-02,78845.0,2020,2
total national,2020-01,68085.0,2020,1
total national,2019-12,55995.0,2019,12
total national,2019-11,70074.0,2019,11
total national,2019-10,169350.0,2019,10
total national,2019-09,318763.0,2019,9
total national,2019-08,627784.0,2019,8
total national,2019-07,526857.0,2019,7
total national,2019-06,321396.0,2019,6
total national,2019-05,278033.0,2019,5
total national,2019-04,188030.0,2019,4
total national,2019-03,106332.0,2019,3
total national,2019-02,62298.0,2019,2
total national,2019-01,59148.0,2019,1
total national,2018-12,50715.0,2018,12
total national,2018-11,56522.0,2018,11
total national,2018-10,158367.0,2018,10
total national,2018-09,296474.0,2018,9
total national,2018-08,610906.0,2018,8
total national,2018-07,554821.0,2018,7
total national,2018-06,297489.0,2018,6
total national,2018-05,259165.0,2018,5
total national,2018-04,177694.0,2018,4
total national,2018-03,108455.0,2018,3
total national,2018-02,61863.0,2018,2
