Comunidades y Ciudades Autónomas;Concepto turístico;RESIDENCIA/ORIGEN;Periodo;Total
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M11;.
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M10;388.607
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M09;453.127
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M08;1.008.535
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M07;1.123.295
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M06;171.651
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M05;.
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M04;0
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M03;589.462
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M02;1.016.936
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M01;953.401
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M12;858.540
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M11;789.249
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M10;1.225.129
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M09;1.914.879
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M08;3.995.563
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M07;3.495.357
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M06;1.945.287
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M05;1.425.461
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M04;1.038.513
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M03;960.368
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M02;891.323
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2019M01;888.072
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M12;804.033
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M11;749.977
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M10;1.198.921
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M09;1.764.850
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M08;4.012.896
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M07;3.601.756
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M06;1.753.752
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M05;1.490.062
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M04;1.030.115
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M03;968.152
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M02;886.947
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2018M01;875.050
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M12;749.720
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M11;722.460
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M10;1.084.058
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M09;1.831.555
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M08;4.088.024
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M07;3.592.391
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M06;1.732.085
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M05;1.284.065
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M04;1.079.236
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M03;866.555
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2017M02;851.545
