Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;Pernoctaciones;Total;2019M03;618.980
Total Nacional;Pernoctaciones;Total;2019M02;414.959
Total Nacional;Pernoctaciones;Total;2019M01;321.785
Total Nacional;Pernoctaciones;Total;2018M12;872.014
Total Nacional;Pernoctaciones;Total;2018M11;623.269
Total Nacional;Pernoctaciones;Total;2018M10;905.675
Total Nacional;Pernoctaciones;Total;2018M09;1.052.592
Total Nacional;Pernoctaciones;Total;2018M08;2.310.609
Total Nacional;Pernoctaciones;Total;2018M07;1.542.610
Total Nacional;Pernoctaciones;Total;2018M06;975.249
Total Nacional;Pernoctaciones;Total;2018M05;794.924
Total Nacional;Pernoctaciones;Total;2018M04;815.378
Total Nacional;Pernoctaciones;Total;2018M03;823.845
Total Nacional;Pernoctaciones;Total;2018M02;419.586
Total Nacional;Pernoctaciones;Total;2018M01;321.955
Total Nacional;Pernoctaciones;Total;2017M12;866.384
Total Nacional;Pernoctaciones;Total;2017M11;492.787
Total Nacional;Pernoctaciones;Total;2017M10;871.649
Total Nacional;Pernoctaciones;Total;2017M09;1.027.460
Total Nacional;Pernoctaciones;Total;2017M08;2.250.173
Total Nacional;Pernoctaciones;Total;2017M07;1.547.657
Total Nacional;Pernoctaciones;Total;2017M06;900.433
Total Nacional;Pernoctaciones;Total;2017M05;723.110
Total Nacional;Pernoctaciones;Total;2017M04;1.093.410
Total Nacional;Pernoctaciones;Total;2017M03;516.944
Total Nacional;Pernoctaciones;Total;2017M02;419.697
Total Nacional;Pernoctaciones;Total;2017M01;324.067
Total Nacional;Pernoctaciones;Residentes en España;2023M11;473.032
Total Nacional;Pernoctaciones;Residentes en España;2023M10;678.499
Total Nacional;Pernoctaciones;Residentes en España;2023M09;781.808
Total Nacional;Pernoctaciones;Residentes en España;2023M08;1.798.792
Total Nacional;Pernoctaciones;Residentes en España;2023M07;1.199.081
Total Nacional;Pernoctaciones;Residentes en España;2023M06;686.046
Total Nacional;Pernoctaciones;Residentes en España;2023M05;530.484
Total Nacional;Pernoctaciones;Residentes en España;2023M04;879.883
Total Nacional;Pernoctaciones;Residentes en España;2023M03;460.285
Total Nacional;Pernoctaciones;Residentes en España;2023M02;388.749
Total Nacional;Pernoctaciones;Residentes en España;2023M01;318.147
Total Nacional;Pernoctaciones;Residentes en España;2022M12;708.166
Total Nacional;Pernoctaciones;Residentes en España;2022M11;463.320
Total Nacional;Pernoctaciones;Residentes en España;2022M10;691.727
Total Nacional;Pernoctaciones;Residentes en España;2022M09;756.911
Total Nacional;Pernoctaciones;Residentes en España;2022M08;1.891.900
Total Nacional;Pernoctaciones;Residentes en España;2022M07;1.315.048
Total Nacional;Pernoctaciones;Residentes en España;2022M06;705.069
Total Nacional;Pernoctaciones;Residentes en España;2022M05;562.395
Total Nacional;Pernoctaciones;Residentes en España;2022M04;844.997
Total Nacional;Pernoctaciones;Residentes en España;2022M03;401.818
Total Nacional;Pernoctaciones;Residentes en España;2022M02;401.448
Total Nacional;Pernoctaciones;Residentes en España;2022M01;293.461
Total Nacional;Pernoctaciones;Residentes en España;2021M12;681.559
Total Nacional;Pernoctaciones;Residentes en España;2021M11;464.356
Total Nacional;Pernoctaciones;Residentes en España;2021M10;851.907
Total Nacional;Pernoctaciones;Residentes en España;2021M09;820.659
Total Nacional;Pernoctaciones;Residentes en España;2021M08;2.082.378
Total Nacional;Pernoctaciones;Residentes en España;2021M07;1.398.478
Total Nacional;Pernoctaciones;Residentes en España;2021M06;639.844
Total Nacional;Pernoctaciones;Residentes en España;2021M05;353.683
Total Nacional;Pernoctaciones;Residentes en España;2021M04;283.682
Total Nacional;Pernoctaciones;Residentes en España;2021M03;219.642
Total Nacional;Pernoctaciones;Residentes en España;2021M02;91.154
Total Nacional;Pernoctaciones;Residentes en España;2021M01;92.474
Total Nacional;Pernoctaciones;Residentes en España;2020M12;203.466
Total Nacional;Pernoctaciones;Residentes en España;2020M11;.
Total Nacional;Pernoctaciones;Residentes en España;2020M10;359.394
Total Nacional;Pernoctaciones;Residentes en España;2020M09;619.362
Total Nacional;Pernoctaciones;Residentes en España;2020M08;1.931.050
Total Nacional;Pernoctaciones;Residentes en España;2020M07;1.290.945
Total Nacional;Pernoctaciones;Residentes en España;2020M06;268.569
Total Nacional;Pernoctaciones;Residentes en España;2020M05;.
Total Nacional;Pernoctaciones;Residentes en España;2020M04;.
Total Nacional;Pernoctaciones;Residentes en España;2020M03;101.420
Total Nacional;Pernoctaciones;Residentes en España;2020M02;391.086
Total Nacional;Pernoctaciones;Residentes en España;2020M01;289.188
Total Nacional;Pernoctaciones;Residentes en España;2019M12;776.363
Total Nacional;Pernoctaciones;Residentes en España;2019M11;543.782
Total Nacional;Pernoctaciones;Residentes en España;2019M10;570.230
Total Nacional;Pernoctaciones;Residentes en España;2019M09;669.151
Total Nacional;Pernoctaciones;Residentes en España;2019M08;1.785.166
Total Nacional;Pernoctaciones;Residentes en España;2019M07;1.092.819
Total Nacional;Pernoctaciones;Residentes en España;2019M06;697.327
Total Nacional;Pernoctaciones;Residentes en España;2019M05;553.155
Total Nacional;Pernoctaciones;Residentes en España;2019M04;768.872
Total Nacional;Pernoctaciones;Residentes en España;2019M03;486.163
Total Nacional;Pernoctaciones;Residentes en España;2019M02;326.585
Total Nacional;Pernoctaciones;Residentes en España;2019M01;251.440
Total Nacional;Pernoctaciones;Residentes en España;2018M12;784.980
Total Nacional;Pernoctaciones;Residentes en España;2018M11;530.099
Total Nacional;Pernoctaciones;Residentes en España;2018M10;626.720
Total Nacional;Pernoctaciones;Residentes en España;2018M09;674.832
Total Nacional;Pernoctaciones;Residentes en España;2018M08;1.688.517
Total Nacional;Pernoctaciones;Residentes en España;2018M07;1.006.319
Total Nacional;Pernoctaciones;Residentes en España;2018M06;636.879
Total Nacional;Pernoctaciones;Residentes en España;2018M05;473.314
Total Nacional;Pernoctaciones;Residentes en España;2018M04;590.474
Total Nacional;Pernoctaciones;Residentes en España;2018M03;671.497
Total Nacional;Pernoctaciones;Residentes en España;2018M02;322.464
Total Nacional;Pernoctaciones;Residentes en España;2018M01;245.173
Total Nacional;Pernoctaciones;Residentes en España;2017M12;783.207
Total Nacional;Pernoctaciones;Residentes en España;2017M11;395.854
Total Nacional;Pernoctaciones;Residentes en España;2017M10;598.195
Total Nacional;Pernoctaciones;Residentes en España;2017M09;659.315
Total Nacional;Pernoctaciones;Residentes en España;2017M08;1.689.173
Total Nacional;Pernoctaciones;Residentes en España;2017M07;1.060.164
Total Nacional;Pernoctaciones;Residentes en España;2017M06;593.649
Total Nacional;Pernoctaciones;Residentes en España;2017M05;453.997
Total Nacional;Pernoctaciones;Residentes en España;2017M04;861.071
Total Nacional;Pernoctaciones;Residentes en España;2017M03;400.765
Total Nacional;Pernoctaciones;Residentes en España;2017M02;328.512
Total Nacional;Pernoctaciones;Residentes en España;2017M01;251.917
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M11;118.964
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M10;320.674
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M09;436.094
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M08;609.813
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M07;552.105
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M06;364.571
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M05;345.350
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M04;286.524
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M03;157.520
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M02;115.677
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2023M01;94.073
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M12;92.204
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M11;100.934
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M10;268.525
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M09;364.625
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M08;565.594
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M07;501.868
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M06;336.330
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M05;283.946
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M04;239.256
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M03;123.866
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M02;89.084
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2022M01;67.848
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M12;84.253
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M11;106.467
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M10;243.414
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M09;295.639
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M08;370.775
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M07;306.646
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M06;159.153
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M05;110.886
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M04;47.249
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M03;31.852
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M02;23.657
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2021M01;19.367
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M12;24.438
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M11;.
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M10;38.855
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M09;54.304
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M08;178.943
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M07;160.156
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M06;9.121
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M05;.
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M04;.
Total Nacional;Pernoctaciones;Residentes en el Extranjero;2020M03;47.897
